"filename", "language", "JavaScript React", "JavaScript", "CSS", "JSON", "Markdown", "XML", "comment", "blank", "total"
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content2.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 2, 52
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content2a.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 2, 57
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content3.js", "JavaScript", 0, 141, 0, 0, 0, 0, 0, 2, 143
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content4.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 2, 70
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content5.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 2, 93
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content6.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 2, 41
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1content9.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 3, 35
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1faqs2.js", "JavaScript", 0, 151, 0, 0, 0, 0, 0, 2, 153
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1features2.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 2, 90
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1features8.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 2, 94
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1reviews1.js", "JavaScript", 0, 373, 0, 0, 0, 0, 0, 2, 375
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo1/Demo1statistic2.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 3, 56
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10blog1.js", "JavaScript", 0, 146, 0, 0, 0, 0, 0, 3, 149
